,Date,Title,Article_Link,Article
0,2020-09-11 09:45:00,#CancelNetflix campaign heats up over 'Mignonnes',https://search.bangkokpost.com/track/visitAndRedirect?href=https%3A%2F%2Fwww.bangkokpost.com%2Flife%2Farts-and-entertainment%2F1983739%2F-cancelnetflix-campaign-heats-up-over-mignonnes&contentId=news1983739,"NEW YORK: Thousands of people launched a call to boycott Netflix on Thursday over the French film ""Mignonnes,"" angry that its young stars were portrayed in a sexualised way. The film, known as ""Cuties"" in English, is directed by French-Senegalese director Maimouna Doucoure, and started streaming September 9. More than 200,000 tweets with the hashtag ""#CancelNetflix"" became the top trending topic one day later. A first wave of criticism, in August, led Netflix to withdraw ""inappropriate"" artwork used to promote the film, which was released in theaters that month in France. Netflix also said it apologised for having used ""inappropriate"" images. But on Thursday, broader opposition to some of the imagery came from around the political spectrum in the United States. DeAnna Lorraine, a former Republican candidate for Congress from California, tweeted that ""Child pornography is illegal in America."" ""As the mother of an 8-year old girl, I STRONGLY support #CancelNetflix,"" added Beatrice Cardenas, another California Republican. The film, which received a director's award at the prestigious Sundance Film Festival, tells the story of Amy, an 11-year-old Parisian, who must juggle the strict rules of her Senegalese family and social media's emphasis on appearance. She joins a dance group formed by three other girls from her neighborhood, whose choreographies are sometimes suggestive. ""The hypersexualization of girls (and boys) is disgusting,"" tweeted Omar Navarro, another Republican politician. ""It is morally and ethically reprehensible. Pedophiles, child rapists and perverts would have a great time with #Cuties."" Contacted by AFP, Netflix did not immediately comment. Among the voices praising the movie were American actress Tessa Thompson (""Creed"", ""Avengers: Endgame""), who found it ""beautiful."" ""It gutted me at @sundancefest,"" she went on. ""It introduces a fresh voice at the helm. She's a French Senegalese Black woman mining her experiences. ""The film comments on the hyper-sexualization of preadolescent girls. Disappointed to see the current discourse. Disappointed to see how it was positioned in terms of marketing. ""I understand the response of everybody. But it doesn’t speak to the film I saw."""
1,2020-08-18 04:00:00,"
											DTAC joins effort to push e-learning platform										",https://search.bangkokpost.com/track/visitAndRedirect?href=https%3A%2F%2Fwww.bangkokpost.com%2Fbusiness%2F1969943%2Fdtac-joins-effort-to-push-e-learning-platform&contentId=news1969943,"Total Access Communication (DTAC), the country's third largest mobile operator by subscribers, has joined the Digital Economy Promotion Agency (Depa) and the Thai Media Fund in rolling out an e-learning platform to enhance digital literacy among youth. The move aims to turn youths susceptible to online abuse into agents promoting digital literacy among friends. The platform was introduced yesterday by Nuttapon Nimmanphatcharin, president of Depa; Thanakorn Srisuksai, manager of the Thai Media Fund; Marcus Adaktusson, chief corporate affairs officer of DTAC; and Srida Tanta-atipanit, manager of the Internet Foundation for the Development of Thailand. ""One in three kids in Thailand have faced cyberbullying according to a recent survey of 15,348 respondents aged 6-18,"" said Ms Srida. She said 25% of respondents engaged in online meetings and they faced fraud, attempts to lure them into illicit gangs, stalking as well as sexual harassment. The survey found 73% view pornographic content, nearly 50% see child pornography and 5.5% own child pornography, while 12.1% see gambling advertising and 2.8% gamble online. Mr Nuttapon said children own digital devices quite early in Thailand, which is among the top five countries in Asia-Pacific for youth ownership, but they lack sufficient digital literacy. Thai youngsters spend 5-10 hours a day online. He said Thailand needs to fill 40,000 digital skill positions per year, but only 20,000 graduates are able to fill them and 13,000 of them are likely to work in corporations. Referring to children's digital literacy, he said it is important to equip children with this skill to protect them against online abuse. ""Proactive new skill sets are needed as Thailand gears up for digital transformation, particularly in the real sectors,"" said Mr Nuttapon. Mr Adaktusson said young people need to have digital resilience and literacy in order to leverage digital tools for national and social development. ""Youth are on a rapid digital transformation journey that has challenges and opportunities. The Covid-19 outbreak has changed the learning and teaching landscape, with online classes becoming much more common,"" he said. Children can learn about digital literacy via https://learn.safeinternet.camp. The website has topics such as online privacy and sexual abuse, ways to stop cyberbullying and identifying fake news. The digital upskilling course includes artificial intelligence-powered chatbots, data visualisation, storytelling and gamification."
2,2020-07-22 22:45:00,"
											Russia convicts Gulag historian on sex charge despite outcry
										",https://search.bangkokpost.com/track/visitAndRedirect?href=https%3A%2F%2Fwww.bangkokpost.com%2Fworld%2F1955819%2Frussia-convicts-gulag-historian-on-sex-charge-despite-outcry&contentId=news1955819,"PETROZAVODSK (RUSSIA) - A Russian court on Wednesday convicted a respected Gulag historian in a controversial sexual abuse case, but handed down a sentence that will see him free in the autumn. Yury Dmitriyev, the local head of prominent rights group Memorial in Karelia in northwestern Russia, was facing up to 15 years in a penal camp under the charges. His supporters insisted he is being punished for his work digging into Soviet-era abuses. After a trial held behind closed doors, a judge in the city of Petrozavodsk found Dmitriyev guilty of sexually abusing his adopted daughter, sentencing him to three-and-a-half years in prison. His lawyer Viktor Anufriyev told reporters that with time served in pre-trial detention Dmitriyev, 64, would be free in three-and-a-half months. Anufriyev said his client was content with the verdict because ""he knows he is not guilty"".  ""Such a verdict following such serious charges can mean only one thing: the prosecution has no real proof of Dmitriyev's guilt,"" Memorial said in a statement after the decision. ""Nevertheless, these charges have already robbed Yury Dmitriyev of more than three years of freedom and ruined his adopted daughter's life,"" it said. - Decades of research on Gulag - Dmitriyev spent decades locating and exhuming mass graves of people killed under Soviet dictator Joseph Stalin's rule, including in the notorious Gulag network of forced labour camps.  The researcher was first arrested in late 2016 on child pornography charges, and then acquitted in 2018. He was then arrested again on the sexual assault case, charges he has always denied. Memorial argues his prosecution is part of a growing crackdown on dissenters in Russia, and that he was targeted for calling attention to one of the darkest chapters in Russia's history. Dozens of his supporters gathered outside the courtroom on Wednesday and some said the verdict was as close as Dmitriyev could get to an acquittal. Yan Rachinsky, a director at Memorial, said the verdict allowed Russian authorities to save face after a robust public campaign in Dmitriyev's defence. ""On the other hand, it won't see a man die in prison,"" he said.  Fellow historian Anatoly Razumov said the fact that Dmitriyev ""will soon get back to his work is a victory"".  - 'Always grateful'-  Dmitriyev is known for helping open the Sandarmokh memorial in a pine forest in Karelia in memory of thousands of victims -- including many foreigners -- murdered in 1937 and 1938. ""Thanks to Yury Dmitriyev, I know where my grandfather was buried,"" supporter Galina Ivanova said outside the courthouse. ""And this is a huge deal, I will always be grateful to him."" The historian was initially arrested in late 2016 on child pornography charges and spent more than a year in pre-trial detention, before calls by prominent figures resulted in his release. He was acquitted in April 2018. But in a stunning turnabout, he was detained again on assault charges later that year after a higher court overturned the not guilty verdict. Dmitriyev's previous case centred on naked photographs of his then pre-teen adopted daughter seized during a search of his home. Independent newspaper Novaya Gazeta reported that Dmitriyev's cellmates had tried to pressure him into admitting his guilt or face sexual abuse in prison. Speaking in court during his second trial this month, Dmitriyev, who was himself adopted, said he had done everything to raise his daughter to be happy and healthy. In the speech published by the Meduza news portal, he also said it was important for people to remember their past. ""The strength of the state is not in its tanks and guns, in its nuclear rockets or an ability to tell everyone to flip off,"" he said.  ""No, the strength of the state is in its people."""
3,2020-07-18 07:45:00,"
											Germany's 'Black Forest Rambo' nabbed after six-day manhunt										",https://search.bangkokpost.com/track/visitAndRedirect?href=https%3A%2F%2Fwww.bangkokpost.com%2Fworld%2F1953500%2Fgermanys-black-forest-rambo-nabbed-after-six-day-manhunt&contentId=news1953500,"BERLIN - After a huge six-day manhunt, German police said Friday they have caught the ""Black Forest Rambo"", a heavily armed suspect accused of stealing officers' weapons and going on the run in the woods. Yves Rausch, 31, was found sitting in a bush after a tip-off from two witnesses, ""with four guns visible in front of him"", said Juergen Rieger, the head of the search operation. The suspect also had an axe in his lap and one further gun, and there was a letter in front of him, Rieger said. Rausch was slightly injured in the arrest, as was a member of the special forces who was cut with the axe. ""I am relieved, happy and grateful that this exceptional situation for our town has come to an end,"" Uwe Gaiser, the mayor of the village of Oppenau, told reporters. Rausch had fled into the forest on Sunday after he managed to disarm four police officers, sparking a huge search operation. More than 2,500 officers combed the area with the help of special forces, helicopters, sniffer dogs and thermal imaging cameras for the fugitive, nicknamed ""Black Forest Rambo"" by the German press after pictures emerged of him dressed in combat gear. - 'Weapons freak' - The drama began on Sunday morning when police were informed that a suspicious man was hanging around a hut in the forest near Oppenau. Four officers sent to the scene said he cooperated at first when approached. But then he ""suddenly and completely unexpectedly"" threatened them with a gun and made them put down their own weapons before running away with them. Police had earlier warned that he may also be carrying a bow and arrow.  Oppenau prosecutor Herwig Schaefer described Rausch on Tuesday as a ""weapons freak"" with a ""great affinity for arms"". He has a long criminal record, including charges related to the possession of illegal weapons, theft and bodily injury. He received a juvenile sentence of 3.5 years in 2010 after he shot an acquaintance with a crossbow, seriously injuring her. Police found child pornography on his mobile phone while investigating him for the possession of explosives in 2019. Schools, kindergartens and the local swimming pool were closed on Monday as a precaution. - Swastikas and SS symbols - Investigators initially said they did not suspect any far-right or other political motive for Rausch's behaviour. However, they later revealed he had received an eight-month suspended sentence for incitement to hatred when he was 15 for altering the letters on a sign for a youth organisation so that it read ""Juden weg"" (""Jews be gone""). They also said he had made a fake bomb and was known for anti-Semitic statements as well as the use of swastikas and SS symbols.  Rausch had been homeless since autumn last year and had been squatting in the hut where he was spotted on Sunday. According to a former neighbour who described him as ""not an easy person"", he Rausch did odd jobs as a rail worker and a golf course caretaker, the Bild tabloid reported. Various weapons and petrol canisters were found in his apartment after he was evicted, as well as a small shooting range in the attic, according to Bild. He then reportedly lived in his car by the local swimming pool for a while before moving into the hut at the edge of the forest. Rausch will be examined by a psychiatrist due to the ""gravity of the crime"" and his past history, Schaefer said. In addition, a blood sample will be taken to check whether he was under the influence of drugs or other substances."
4,2020-07-15 04:00:00,Body of Glee star Naya Rivera recovered from US lake,https://search.bangkokpost.com/track/visitAndRedirect?href=https%3A%2F%2Fwww.bangkokpost.com%2Flife%2Fsocial-and-lifestyle%2F1951592%2Fbody-of-glee-star-naya-rivera-recovered-from-us-lake&contentId=news1951592,"US officials on Monday found the body of Glee actress Naya Rivera in the California lake where she drowned last week during a boat trip with her four-year-old son. Rivera's body was retrieved and an initial examination found no evidence of foul play or suicide, Ventura County Sheriff Bill Ayub told a press conference. ""We are confident the body we found is that of Naya Rivera,"" said Ayub, pointing to the location, appearance, clothing and condition of the body. Her body was being taken to a medical examiner's office for a full autopsy and confirmation of her identity from dental records, though no other missing persons have been reported at Lake Piru, he added. Rivera, 33, is believed to have accidentally drowned after renting the boat with her young son at the camping and recreational hotspot around an hour's drive northwest of Los Angeles. She had vanished on Wednesday afternoon and a massive search involving divers, patrol boats and helicopters was launched shortly after her sleeping son was spotted drifting alone in a boat on the lake. The son later told investigators that Rivera had helped him into the boat before ""he looked back and saw her disappear under the surface of the water"", said the sheriff. Ayub pointed to the lake's strong currents as a possible cause of a fatal accident. ""The idea perhaps being that the boat started drifting -- it was unanchored -- and that she mustered enough energy to get her son back onto the boat, but not enough to save herself,"" he said. The lake has been closed since Wednesday when around 100 personnel, including the US Coast Guard and rescuers from neighbouring counties, joined the search. Search teams used footage from video messaging calls Rivera made from the boat before her disappearance as well as interviews with her son to scour portions of the lake bed for her remains over six days with no success. ""We believe she was concealed within some of the shrubberies on the floor bed of the lake"" before eventually floating to the surface  due to natural decomposition, said Ayub. With less than 30cm of visibility underwater in daylight, the recovery operation was a ""complex search effort"" even with the use of sonar equipment, he said. Rivera was best known for her role as high school cheerleader Santana Lopez in Glee. She starred for six seasons in the wildly popular musical television series set in a US high school that ended in 2015. The Glee cast has been struck by tragedy before. Actor Mark Salling took his own life in 2018, weeks before being sentenced for possession of child pornography. Canadian castmate Cory Monteith died in July 2013 of an overdose of drugs and alcohol."
5,2020-07-03 13:45:00,"
											Crusading ex-cop's arrest sparks police pushback in Russia
										",https://search.bangkokpost.com/track/visitAndRedirect?href=https%3A%2F%2Fwww.bangkokpost.com%2Fworld%2F1945384%2Fcrusading-ex-cops-arrest-sparks-police-pushback-in-russia&contentId=news1945384,"MOSCOW - When police moved in to arrest Vladimir Vorontsov in May, they didn't bother to knock. Instead, two commando teams stormed the former policeman's top-floor apartment in southeast Moscow at around 7:00 am, one abseiling down the high-rise while the other broke down the door. ""Our daughter thinks that bandits came and took daddy away,"" Aleksandra Vorontsova told AFP, describing the swoop on her husband, an activist for police labour rights. During a five-hour search, investigators even combed through their four-year-old's toys, socks and underwear, she said. Vorontsov, who quit the Moscow police force in 2017 after 13 years, has been charged with extortion. Supporters of the stocky, blue-eyed 35-year-old say that the real reason for his arrest is his Police Ombudsman project, a series of linked social media accounts dedicated to protecting police officers' rights and exposing abuse by their superiors. His case has sparked a rare public outcry among police, a key pillar of President Vladimir Putin's rule, that could eventually spell trouble for the Kremlin, observers say. Vorontsov has spent two months in pre-trial detention and on Thursday a Moscow court extended his arrest until early August. He denies any wrongdoing. With no genuinely independent police trade unions in Russia, Vorontsov's initiative has become popular, attracting more than half a million followers. It has exposed allegations of corruption within law enforcement and denounced pressure on officers to fulfil quotas for fines and arrests. It has also drawn attention to long working hours and suicides in the police force, for which precise figures are not publicly available. Vorontsov has criticised excessive use of force by police and supported claimants' successful legal court cases. For the first time, members of Russia's 750,000-strong police force have openly challenged the authorities over Vorontsov's treatment but also on the functioning and methods of the police, at a time when policing in the United States is under intense scrutiny following the death of George Floyd. Dozens of serving and former police staff in Russia have taken to social media to call for Vorontsov's release. Some posted photos of themselves, others released anonymous pictures of their police hats and protest signs. - 'Crumbling from within' - Several have told AFP that it was important to support Vorontsov despite possible repercussions. Two days after his arrest, former neighbourhood police inspector Georgy Zarya marched to Moscow police HQ for a one-person demonstration -- the only kind allowed in Russia without prior permission -- and held up a sign urging the city's police chief to resign. He was detained for two hours. ""If we don't stand up for Vorontsov now, things will only become worse,"" the 36-year-old said. Zarya quit in late 2018, citing 10- to 12-hour shifts, meagre pay and labour rights' violations. While on the job, he'd made no secret of his disdain for the notorious system of quota-based policing, in which staff are often required to issue a predetermined number of fines or make a certain number of arrests. ""The quota system is the bane of the interior ministry,"" Zarya said. ""If you don't expose an administrative offence, you may not be able to hand in your service weapon in the evening. And how can you go home with a gun?"" he said in an interview. After more than 12 years on the force, Zarya now has nowhere to live as he has not received a housing grant to which he is entitled. Vorontsov has helped him file a lawsuit against the interior ministry. - 'We are Vorontsov' -  Mikhail Tsaplin also spoke out in support of Vorontsov, two weeks before retiring from the police in the town of Gus-Khrustalny, 250 kilometres (155 miles) east of Moscow, after 20 years. Dressed in uniform, he posted a picture of himself on VKontakte, the Russian equivalent of Facebook, with the words: ""I am/We are Vorontsov. I am not afraid."" The 39-year-old criticised Vorontsov's arrest by the Grom (Thunder) police special forces as heavy-handed.  ""He is neither a terrorist, nor an extremist, nor a murderer, nor a child molester,"" he told AFP in a phone interview. Tsaplin retired, he said, because he no longer wanted to be part of a flawed system. ""I can no longer wear a uniform,"" he said. ""I don't like what's happening. The system is crumbling from within."" Tsaplin, who was paid a monthly salary of 43,000 rubles ($620) -- above the average for his region -- said that while ordinary police lived modestly, some senior officers were deeply corrupt and gave the force a bad name. - 'Considered slaves' -  A police investigator from a major Russian city said that he and a colleague had become targets of an internal probe after posting pictures of themselves supporting the activist. He fears he could be fired from the job he ""loves"". The investigator, who spoke to AFP on condition of anonymity, said that Vorontsov was a hate figure for the authorities because he encouraged police to stand up for their rights. ""The government has taken away everything from us,"" he complained, stressing that police officers can be sacked for taking part in demonstrations and that election results in Russia were largely predetermined.  He also said that officers had to obey what he called ""criminal orders"" to break up peaceful rallies, accusing authorities of purposefully pitting police against ordinary citizens. ""Have you ever seen protesting police? No. Are we happy with everything? No,"" he added. All three men said they believed that Vorontsov's arrest was retribution for his work.  They and other critics say police staff often have to buy their own uniforms and office equipment and are forced to accept unpaid overtime and unfair dismissals. Conditions for many are so hard, they say, that dozens of police in Russia commit suicide every year. The interior ministry did not respond to AFP's requests to comment on Vorontsov's activities and detention. But Mikhail Pashkin, head of the Moscow Police Trade Union, seen by some as close to the interior ministry, accused Vorontsov of seeking to make ""big money"" by helping policemen and interfering in politics. ""There are problems in the interior ministry system,"" he acknowledged.  ""On the whole, interior ministry employees are treated very badly. Many superiors consider them slaves rather than humans,"" he told AFP. ""Smart bosses understand that a trade union is not an enemy."" - Powerful enemies - Supporters believe that Vorontsov has made enemies in the upper echelons of the police force and several senior officers have lost their jobs due to his activism. In a well-publicised case, the top policeman in the Siberian region of Novosibirsk, Yury Sterlikov, resigned in April after the Police Ombudsman published a recording in which a senior policewoman was heard ordering her subordinates to issue mass fines for coronavirus lockdown violations to meet a quota.  The policewoman also lost her job after the uproar. Since being arrested, Vorontsov also faces three further probes, including for distributing and producing pornography.  Igor Khudyakov, an ally who helped run the online project, has also been arrested. For some, Vorontsov's project was also an unusual opportunity to express anti-Kremlin views, said a former police major, who spoke to AFP on condition of anonymity. ""There are plenty of those"" who oppose Putin among the police, he said. The president, a 67-year-old ex-KGB officer, has ruled Russia for two decades and could remain in power until 2036 following a controversial vote to amend the constitution. The police, together with the army and security services, form the backbone of his regime. ""It is critically important for the authorities to retain the loyalty of law enforcement,"" said Sergei Davidis, head of a political prisoners' support programme at rights group Memorial. But the pro-Vorontsov campaign, Davidis added, could signal a change in ""public conscience"", as some polls indicate record low approval ratings for Putin in the coronavirus economic slump. His cause has won backing from outside the police too, including prominent Moscow journalist and opposition activist Ilya Azar, who was jailed for 10 days after picketing. Though smaller in scope, the drive in support has drawn comparisons with last year's campaign over investigative journalist Ivan Golunov's detention. Golunov was arrested on trumped-up drugs charges but released after demonstrations. - Support from Navalny -  While Vorontsov has received many plaudits, he has been criticised too, with some police claiming his ""rock-star"" fame has gone to his head. However, even some opponents acknowledge the importance of his work. Vorontsov himself was once a member of the interior ministry's anti-extremism unit, known for harassing anti-Kremlin campaigners.  He set up his Ombudsman project in 2017 while still in the police, driven by a desire to highlight allegations of injustice and violations.  In recent months, he has established close contacts with opposition activists and following his arrest, chief Kremlin critic Alexei Navalny's team urged police officers to keep up the pressure. ""This man was on your side,"" Moscow campaigner and Navalny ally Lyubov Sobol said in a video address.  She told AFP that some police thanked her for sticking up for Vorontsov. In a terse Instagram reaction, interior ministry spokeswoman Irina Volk wrote ""here it comes"", appearing to suggest that the opposition -- whose members often suffer police brutality -- was beginning to flirt with disgruntled officers. Aleksandra Vorontsova said that her husband had anticipated government pressure but hadn't expected it to be so harsh. ""He now understands that they can come for anyone,"" she said. ""He's ready to fight."""
6,2020-06-19 08:37:00,"
											Online child sex abuse nears record high with coronavirus										",https://search.bangkokpost.com/track/visitAndRedirect?href=https%3A%2F%2Fwww.bangkokpost.com%2Fthailand%2Fgeneral%2F1937644%2Fonline-child-sex-abuse-nears-record-high-with-coronavirus&contentId=news1937644,"Online child sex abuse cases in Thailand are set to hit a record high this year, police said on Thursday, with cybersex predators exploiting the new coronavirus crisis to target more children. The police-led Internet Crimes Against Children (TICAC) taskforce has rescued more than 100 children in the last two months - almost double the 53 victims helped in 2018, which was the highest annual figure since its foundation in 2016. ""Children aren't going to school and criminals are taking advantage of this to look for income during unemployment,"" Thakoon Nimsomboon, head of TICAC, told the Thomson Reuters Foundation. The global spread of cheap, high-speed internet and the rise in mobile phone ownership has fuelled cybersex crimes in recent years, with children from Thailand to the Philippines being exploited over livestreams for paying clients worldwide. Officials and activists have seen child cybersex abuse worsen under the coronavirus pandemic as families have struggled to earn a living while children have been at home and online, fuelling calls for better child education on internet safety. Since mid-April, the police taskforce has recovered more than 150,000 files of child sexual abuse material and opened 53 cases. In 2019, they had 72 cases involving 46 victims. ""There is a high possibility that figures this year will reach a record high, especially since officers have time to investigate due to less crime on the streets,"" said Pol Col Thakoon, who is also deputy commander of the anti-trafficking unit. Thailand has ramped up efforts to tackle child sex abuse in recent years, with the 2016 launch of TICAC by the Royal Thai Police, which works hand-in-hand with local non-governmental organisations to track down offenders and their victims. It has 180 officers who hold full-time positions in other police agencies. TICAC has investigated more than 280 cases of internet-facilitated child sexual exploitation since 2016, of which 81 are related to human trafficking. The rest are related to sexual abuse and pornography. Wirawan Mosby, director of the HUG Project, a charity that helps trafficked children, said the government should improve school internet safety policies, especially when children are learning from home. ""Having such high figures is not something to be proud of, and law enforcement is not solving the problem at the root cause,"" she said. Child rights experts are urging Thailand to enact a law that will criminalise grooming of children for sexual abuse, which will help protect them from being sex trafficked. ""Since we don't have this law yet, children need to become victims first in order to press charges (towards the offender),"" said Ms Wirawan. ""This is why we need to focus on prevention and educating children."""
7,2020-06-15 09:45:00,"
											Duterte-critic journalist Ressa convicted in Philippine libel case										",https://search.bangkokpost.com/track/visitAndRedirect?href=https%3A%2F%2Fwww.bangkokpost.com%2Fworld%2F1935076%2Fduterte-critic-journalist-ressa-convicted-in-philippine-libel-case&contentId=news1935076,"MANILA: High-profile Philippine journalist Maria Ressa was convicted Monday in a cyber libel case that press freedom advocates have branded a ploy to silence critics of President Rodrigo Duterte. Ressa, 56, and her news site Rappler have been the target of legal action and probes after publishing stories critical of Duterte's policies, including his drug war that has killed thousands. She was allowed to remain free on bail after the ruling pending a possible appeal of the conviction, which carries a jail sentence of up to six years. ""We are going to stand up against any kind of attacks against press freedom,"" Ressa told journalists after the conviction in Manila. Monday's verdict decided a trial that stemmed from a businessman's 2017 complaint over a Rappler story five years earlier about his alleged ties to a then-judge on the nation's top court. Ressa, who Time magazine named as a Person of the Year in 2018, did not write the article and government investigators initially dismissed the businessman's allegation. But state prosecutors later filed charges against her and Reynaldo Santos, the former Rappler journalist who wrote it, under a controversial cyber crime statute aimed at online offences such as stalking and child pornography. The law they are accused of violating took effect in September 2012, months after the article was published. But prosecutors say Rappler's typographical correction to the story in 2014 to change ""evation"" to ""evasion"" was a substantial modification and the article was thus covered by the law. ""I've been the cautionary tale: be quiet or you're next... that's part of the reason why I have been targeted,"" Ressa, a co-founder of Rappler and a former CNN journalist, told AFP in an exclusive interview last week. Duterte's government has said the case is not politically motivated and that authorities must enforce the law, even against journalists.  

 - 'Fake news outlet' - But rights groups and press advocates say the libel charge along with a series of tax cases against Rappler and a government move to strip the news site of its licence amount to state harassment. Amnesty International said the ""attacks"" against Rappler were part of a wider government crackdown on media freedom in the Philippines. Ressa's verdict comes just over a month after government regulators forced off the air ABS-CBN, the nation's top broadcaster, following years of threats by Duterte to shut down the network. Both Rappler and ABS-CBN have reported extensively on Duterte's anti-drugs campaign in which police have gunned down alleged dealers and users in operations condemned by rights groups. Some of the crackdown's highest-profile critics have wound up behind bars, including Senator Leila de Lima, who is serving three years in jail on drug charges she insists were fabricated to silence her. In 2018, Duterte denounced Rappler as a ""fake news outlet"" and subsequently banned Ressa and her colleagues from his public engagements.  

"
8,2020-06-15 04:45:00,"
											Libel verdict due for Philippine journalist critical of Duterte										",https://search.bangkokpost.com/track/visitAndRedirect?href=https%3A%2F%2Fwww.bangkokpost.com%2Fworld%2F1935004%2Flibel-verdict-due-for-philippine-journalist-critical-of-duterte&contentId=news1935004,"MANILA: Philippine journalist Maria Ressa faces a possible prison sentence when the verdict in her libel trial is handed down Monday in a case she and watchdogs say is aimed at silencing critics of President Rodrigo Duterte. Ressa, 56, and her news site Rappler have been the target of legal action and probes after publishing stories critical of Duterte's policies, including his drug war that has killed thousands. Monday's verdict in Manila will decide a trial that stems from a businessman's 2017 complaint over a Rappler story five years earlier about his alleged ties to a then-judge on the nation's top court. Ressa, who Time magazine named as a Person of the Year in 2018, did not write the article and government investigators initially dismissed the businessman's allegation. But state prosecutors later filed charges against her and Reynaldo Santos, the former Rappler journalist who wrote it, under a controversial cyber crime statute aimed at online offences such as stalking and child pornography. The law they are accused of violating took effect in September 2012, months after the article was published. But prosecutors say Rappler's typographical correction to the story in 2014 to change ""evation"" to ""evasion"" was a substantial modification and the article was thus covered by the law. ""I've been the cautionary tale: be quiet or you're next... that's part of the reason why I have been targeted,"" Ressa, a co-founder of Rappler and a former CNN journalist, told AFP in an exclusive interview last week. ""It's a chilling effect... not just to me and to Rappler, but to journalists and to anyone who asks critical questions."" Ressa said she could face up to seven years behind bars if convicted by the judge. A previously cited figure of 12 years was due to her legal team's differing interpretations of the law, she said. Duterte's government has said the case is not politically motivated and that authorities must enforce the law, even against journalists. 'Fake news outlet' But rights groups and press advocates say the libel charge along with a series of tax cases against Rappler and a government move to strip the news site of its licence amount to state harassment. ""If Maria is convicted and locked up for doing her work, the message to other journalists and independent voices is clear: Keep quiet, or you'll be next,"" human rights lawyer Amal Clooney, who is part of Ressa's legal team, wrote in the Washington Post on Friday. Amnesty International said the ""attacks"" against Rappler were part of a wider government crackdown on media freedom in the Philippines. Ressa's verdict comes just over a month after government regulators forced off the air ABS-CBN, the nation's top broadcaster, after years of threats by Duterte to shut down the network. Both Rappler and ABS-CBN have reported extensively on Duterte's anti-drugs campaign in which police have gunned down alleged dealers and users in operations condemned by rights groups. Some of the crackdown's highest-profile critics have wound up behind bars, including Senator Leila de Lima, who is serving three years in jail on drug charges she insists were fabricated to silence her. In 2018 Duterte denounced Rappler as a ""fake news outlet"" and subsequently banned Ressa and her colleagues from his public engagements."
9,2020-06-10 13:45:00,"
											Philippine journalist Ressa scared but strong ahead of verdict										",https://search.bangkokpost.com/track/visitAndRedirect?href=https%3A%2F%2Fwww.bangkokpost.com%2Fworld%2F1932512%2Fphilippine-journalist-ressa-scared-but-strong-ahead-of-verdict&contentId=news1932512,"MANILA: High-profile Philippine journalist Maria Ressa says the libel charge that could see her jailed next week is a government ploy to intimidate all critical voices, but she refuses to be silenced and still holds out hope of winning. In an exclusive video interview with AFP ahead of Monday's verdict that could see her sentenced for up to 12 years, Ressa admitted being scared but also continued to speak defiantly. ""I've been the cautionary tale: be quiet or you're next... that's part of the reason why I have been targeted,"" said Ressa, 56, the co-founder of news site Rappler and a former CNN journalist. ""It's a chilling effect... not just to me and to Rappler, but to journalists and to anyone who asks critical questions."" Monday's verdict will decide a case that stems from a businessman's complaint in 2017 over a Rappler story five years earlier about his alleged ties to a then-judge on the nation's top court. Government investigators initially dismissed the businessman's allegation. But state prosecutors later revived the case using a controversial cyber crime statute aimed at online offences ranging from stalking to child pornography. Authorities say they have not targeted Ressa for her work and are simply enforcing the law. But press and media watchdogs say the case against Ressa is in retaliation for Rappler's independent reporting on President Rodrigo Duterte and his administration. The website's journalists have cast a harsh light on Duterte's anti-drugs crackdown, which has killed thousands and drawn international censure despite being backed by many Filipinos. Another one of the most prominent critics of Duterte's narco war, Senator Leila de Lima, has been in jail for three years over drug allegations that she says are trumped up. Ressa's libel case is among a string of criminal charges that have hit her and Rappler since last year, many of which stem from allegations over how the site raised investment money. The multiple moves against Rappler have drawn international concern and made Ressa a cause celebre globally for people standing up against authoritarian governments. Time magazine named Ressa a Person of the Year in 2018. Rights watchdogs say the Duterte government has in recent weeks stepped up its campaign to silence dissent in other ways, with the nation's top broadcaster -- ABS-CBN -- shutdown. Lawmkers also this month passed the Anti-Terrorism Act of 2020, which allows warrantless arrests, weeks of detention without charge and other measures that critics fear could be used to crack down on peaceful government opponents. Ressa said Duterte had cemented himself as the most powerful Filipino leader since dictator Ferdinand Marcos, whose two decades in power ended in a famous ""people power"" uprising in 1986. ""We could even say more powerful than Marcos because he (Duterte) was able to declare martial law without even declaring martial law,"" Ressa said, referring to the Anti-Terrorism Act. Ressa, who served as CNN's bureau chief in Manila and Jakarta during a nearly 35-year career, said waiting for Monday's verdict was proving an emotional challenge. ""I am going to embrace my fear. I have to be ready and that starts in my head. That starts with my ability to be okay with the worst-case scenario,"" she said from her Manila home. ""I don't want to be surprised."" The independence of the judicial system in the Philippines, which has long had a reputation for corruption, has been further eroded during Duterte's four years in power, according to rights groups. But Ressa said individual people who make up the court system and their desire ""to be guided by the spirit of the law"" still give her reason for optimism. Regardless of the pressure from the highest levels of power to convict, it is up to the judge to make the final decision. ""I'm hoping. All I can do is hope,"" Ressa said.  

"
