Date,Title,Article_Link,Article
9.1.2020,Appeal court upholds guilty verdict in Oulu child sex abuse case,https://yle.fi/uutiset/11150396,"The Rovaniemi Court of Appeal has upheld the conviction by Oulu District Court of a 30-year-old man for the sexual abuse of a 13-year-old girl. The court sentenced the defendant, Javad Mirzad, to three years and four months in prison after he was found guilty of aggravated child sexual abuse by the district court last summer.  The appeal court confirmed the man's guilty verdict on the charges brought against him. However, the court halved the amount of damages the defendant was ordered to pay the victim - down a total of 1,500 euros. The appeal hearing was linked to a series of similar cases in which a 13-year-old girl was believed to have suffered abuse at the hands of eight foreign-background men between June and October of 2018. The court found that the offences involving the defendant occurred at a private residence in the Oulu region August 2018 and that the victim and the defendant had been in contact via a messaging service. All of the defendants involved had arrived in the country as asylum seekers or quota refugees. Thursday's appeal hearing was the second case in which the district court decision was upheld. In December the appellate court upheld a three-year sentence imposed on Osman Humad last summer. "
15.5.2019,Mikkeli man convicted in child sexual abuse case,https://yle.fi/uutiset/10783816,"The defendant in the case was convicted and sentenced in the South Savo District Court on Tuesday on charges of the aggravated sexual abuse of a minor over an eight-year period. At the time of the repeated offenses, the child victim was between the ages of 5-13. According to the court, the abuse involved touching the child's intimate areas and acts classed under law as sexual intercourse. In addition to the prison sentence, the defendant was ordered to pay the victim damages totaling 14,000 euros. The court ordered that the transcripts of the trial proceedings remain sealed until 2079."
7.6.2019,Court hands down 40-month prison sentence in 4th Oulu child sex abuse case,https://yle.fi/uutiset/10820884,"The Oulu district court has convicted a 29-year-old man for the sexual abuse of a minor, who was 13 years-old at the time the offences were committed. The court sentenced the defendant, Javad Mirzad, to three years and four months in prison after he was found guilty of aggravated child sexual abuse. The court found that the offences occurred at a private residence in the Oulu region last August and that the victim and the defendant had been in contact via a messaging service. The conviction is the fourth in a series of similar cases in which the same 13-year-old girl is believed to have suffered abuse at the hands of of eight different foreign-background men between June and October last year. On Wednesday, another defendant -- a 22-year-old man -- received a three-year sentence after conviction on similar charges. Oulu district prosecutor Kaisa Kytömäki said that she hadn’t fully reviewed the court’s arguments for the sentence, but remarked that it was in line with previous sentencing handed down in the series of related cases, adding that it aligned well with the prosecutor’s demands. ""The sentence appears to be well-reasoned,"" she continued. Defence attorney Heikki Aspegren said that he had not yet spoken with his client, but told Yle that he believed that they would appeal the sentence. ""There is justification for an appeal. The prison sentence seems rather long. I believe that the sentence has been a disappointment for my client,"" Aspegren added. Tabloid daily Iltalehti reported on Friday that the defendant denied the charges against him and told the court that he believed the girl was 16. In Finland, the legally-defined age of consent is 16. Edit 7.6.2019 The original headline erroneously stated that the sentence was 30 months."
3.1.2019,Southern Finland coach in custody on suspicion of child sexual abuse,https://yle.fi/uutiset/10579990,"The coach of a sports club in Hyvinkää, southern Finland has been remanded into police custody on suspicion of sexual abuse of minors he was coaching, the Itä-Uusimaa police department said on Thursday. Officials said that they are investigating the case as suspected child abuse but did not disclose the ages of the alleged victims. The suspect in the case, a 50-year-old man, was remanded into custody on Wednesday. The suspected sexual abuse is believed to have taken place between June and December last year, according to documents tabled during the court hearing. The club in question has terminated the man’s employment contract and he is no longer coaching. Police said that the investigation is still at an early stage."
20.9.2019,Ex-church councillor among four charged in violent child sex abuse ring,https://yle.fi/uutiset/10981177,"Authorities in Ostrobothnia, western Finland have charged four persons suspected of involvement in a large-scale cross-border child sex abuse case that involved violence and the rape of minors. The suspected crimes were committed between 2007 and 2014 while other offences relating to pornographic images involving children dated from 2007 to 2017. Investigators had originally zeroed in on six suspects during their probe, but charges were eventually laid against four of the men. The main suspect in the case has been charged with possession and aggravated dissemination of indecent images of children, aggravated child sex abuse, child sex abuse and aggravated rape. Another suspect has been charged with aggravated child sex abuse and aggravated rape as well as possession of and aggravated dissemination of indecent images of children. A third was charged with aggravated child sexual abuse. Authorities charged a fourth suspect with charges of possession of indecent images of children as well as other offences. One of the defendants is likely to be fined for the charges levied, while officials have decided not to prosecute another. The defendants have largely denied the charges against them or have not commented on them. In March, police described the central feature of the investigation as involving ""child harm and violence against children."" ""In its mildest form the abuse that occurred in Finland involved showing adult pornography to children. In the worst cases, children were drugged and raped for 10 hours,"" lead investigator Sanna Springare said at the time. District prosecutor Jaana Nyrhinen did not divulge additional details about the charges laid. While she admitted that some children had been drugged, she declined to identify the narcotics used. The National Bureau of Investigation NBI said that the international investigation has been expansive. ""There are more than 400 hours of abuse material. The majority of these acts target foreign individuals whose identities could not be determined,"" Nyrhinen noted. However investigators said that they have been able to identify victims in Finland. Police reported earlier that their ages ranged from six to 15 years old. The prosecutor has a requested closed-door hearings as well as officially sealing the court documents as well as the verdicts. He said that the trial would likely begin next year. Police first revealed that they were investigating the large-scale case back in March. Some of the suspects under police scrutiny were suspected of disseminating child pornography, some of which involved physical abuse and rape of child victims. According to information obtained by Yle, the main suspect has worked as a church councillor and entrepreneur and reportedly had an unblemished reputation before the suspected crimes were publicised. The preliminary investigation revealed six victims, ranging in age from pre-schoolers to upper comprehensive school children. "
29.3.2019,"Friday's papers: Politicians' plans to check meat consumption, child sex abuse suspects, MP threatened",https://yle.fi/uutiset/10712589,"The country's most widely-read daily Helsingin Sanomat looks at recent campaign talk from some political parties about reducing the consumption of meat in Finland, due to its impact on health and the environment.  Some of the parties suggest raising taxes on meat or reducing taxes on vegetables, to encourage people to eat better. Others propose changing agricultural subsidies to better reflect environment and climate considerations. HS says the parties are on to something, as diet accounts for 15 percent of household CO2 emissions, with meat and dairy products playing an outsize role, comparatively. Food production is also responsible for 60 percent of nutrients that cause eutrophication in the Baltic Sea. The Social Democratic Party, for example, seeks to lower the value added tax on ""products without high emissions"" from its current 14 percent rate. In addition to problems with EU tax policy compliance, HS says this kind of tax policy to affect consumption has not always had the desired effect. A recent sugar tax, for example, did not reduce sweets consumption, although it did steer people away from sugary drinks.  Other parties like the National Coalition Party say the answer is to change agricultural subsidies in Finland to encourage more planet-friendly products. For example, vegetable and insect proteins should be supported so there is a ""fair playing field"" in comparison to meat and dairy products. A representative of the MTK farming lobby tells the paper that Finland's hands are tied in this area, too, due to EU membership and international agreements. He says the biggest reason more Finns don't eat recommended amounts of vegetable products is simply because they prefer meat. If meat were to become more expensive, he says, they would just look for cheaper, imported meat instead. The Oulu-based newspaper Kaleva carries a story on the suspects in an extensive child sexual abuse network uncovered by police. The victims of the suspected violent sexual abuse, which was believed to have taken place from 2014 to 2018, were six young boys.  The paper says that the five Finnish men who are suspects in the case are from different parts of Finland. The main suspect is a 57-year-old tour operator from Lapland whose company organised events like canoe trips and dog sledding in northern Finland. Kaleva says the main suspect had also worked for the Finnish Evangelical Church nearly a decade ago, as a youth program assistant at a parish in Southern Ostrobothnia. He was also elected to the church council there, where he served for about two years. The paper reports that the other suspects in the case are a 43-year-old man from Vaasa, a 51-year-old man from Helsinki, and a 22-year-old man from Southern Ostrobothnia. The fifth suspect is unknown, the paper writes. Three of the suspects were convicted last August in the Helsinki District Court for their part in a methamphetamine ring. The suspect from Helsinki was sentenced to four-year suspended sentence for selling the drugs, which he brought into the country from Thailand and the Netherlands.  The tabloid Iltalehti features a story on  threats of violence against Finns Party MP Laura Huhtasaari and her family on Thursday. The person behind the threats has been identified as Tero Niskanen, a municipal politician from the western city of Pori who represents the National Coalition Party. Niskanen has since submitted his resignation to the party and publicly apologised to Huhtasaari and her family. He wrote on Facebook that he was ""very emotional"" when he made a threatening call to the emergency services number. The call was traced and Niskanen was taken into custody. The police are investigating the incident. "
8.1.2020,Helsinki teacher appeals suspended sentence for child sexual abuse ,https://yle.fi/uutiset/11147629,"A male teacher at a Helsinki school has appealed an 18-month suspended prison sentence after being found guilty of sexually abusing students in his charge. The appeal trial began in the Court of Appeal on Wednesday. In December 2018, the 44-year-old mathematics teacher at a Swedish-language school in Helsinki was convicted and sentenced for the sexual abuse of nine children between 2013 and 2017. The court ruled that the teacher had sent messages with sexual images and texts to young boys and engaged in inappropriate physical contact with them. The accused however denied having sexual intercourse with one of the students and claimed that the physical contact and massages were not sexual in nature. The alleged abuser also denied sending pictures of his genitalia to a 15-year-old and claimed he was not aware that the student he was communicating with was under the age of 16. The court revealed that the teacher had received a written warning in 2014 for his improper conduct, however he continued to engage in inappropriate interaction with the students. The teacher's ongoing improper conduct came to the school's attention in autumn 2016, and the institution filed a criminal complaint in early 2017. The accused admitted to the district court that the descriptions of his behaviour were partially correct but argued that his actions did not meet the criteria for child sexual abuse. Finland’s criminal code defines a child sexual abuser as someone who has interaction such as touching or engages in other sexual actions with a child under the age of 16. The acts must be damaging to the child’s development. A suspect may also be found guilty of the offence for causing a child to commit such acts. The former headmaster of the school was also fined in February 2019 for not lawfully reporting the matter to the police, even though he was aware of the alleged sexual abuse. The verdict is not final yet and the court will hear the case against the principal early this year."
24.1.2019,Pori man gets 16 months jail time for child sexual abuse,https://yle.fi/uutiset/10612058,"The Satakunta district court has sentenced a Pori man to a 16-month prison sentence following his conviction for sexual abuse of two children, as well as attempted sexual abuse, alcohol offences and illegal sales of cigarettes. The ruling also relates to a suspended prison sentence the man received for sexual abuse of a minor and alcohol offences two years ago. The 68-year-old had sold and provided cigarettes and alcohol to underaged children and lured them to his home. The youngest of his victims was 10 years old. The man denied committing the sex crimes but the court found him guilty. However a separate charge of assault was dismissed. The prosecution justified the assault charge by arguing that the boys allegedly became inebriated from the alcohol they drank. The court ruled that it was not possible to determine the degree of inebriation and the possible impact on their health. The court ordered part of the sentence to be sealed. "
26.3.2019,Man receives 2.5-year jail sentence in second Oulu child sex abuse case,https://yle.fi/uutiset/10708169,"Oulu District Court sentenced 22-year-old Abdullhadi Barhum to two-and-a-half years in prison after convicting him of rape and aggravated sexual exploitation of a 14-year-old girl. Barhum and his underage victim did not know each other before the offences took place last autumn in Oulu, on Finland's west coast. According to court testimony, the victim had asked for someone on the social media app Snapchat to bring her cigarettes and that Barhum responded to her request. According to testimony, Barhum later provided the girl with alcohol and had been aware the girl was 14-years-old. He met his victim two times in Oulu's Tuira neighbourhood and the rape took place outdoors during their second meeting last November. That same weekend another suspected child sex abuse case came to the attention of authorities, but the incidents were not related and the suspects did not know each other, according to police. Last week a 44-year-old man was sentenced to a three-year eight-month prison term after being found guilty of the aggravated child sexual abuse and aggravated rape of a 10-year-old girl. Those offences were found to have occurred between summer and autumn last year.  Tuesday's verdict was the second of several cases of suspected child sex abuse under investigation in Oulu that came to light late last year. In some of those suspected cases the perpetrators had known their victims in advance of the alleged offences, while in other cases contact had been established via the internet and social media. According to investigators the suspects in those cases include Finnish nationals as well as foreigners."
5.6.2019,Three year prison sentence in third of Oulu child sex abuse cases,https://yle.fi/uutiset/10817567,"Oulu District Court sentenced a man on Wednesday to three years in prison for charges of aggravated sexual abuse of a child and luring a child for sexual purposes. The defendant, Osman Humad, was 22 to 23-years-old at the time of the crimes, which took place on a number of occasions between June to October 2018, while the female victim was 13. The perpetrator first made contact with the girl via Facebook, after which the two communicated on messaging apps Messenger and Snapchat. The court said it considered the abuse charge to be aggravated because of the major age difference between the defendant and the victim. Humad denied throughout his case that he had committed a crime. Wednesday's verdict and sentencing marked the third of several cases of suspected child sex abuse in Oulu, in which eight men ""of foreign background"" stand - or stood - accused. Two of those defendants have already been convicted and sentenced. Special prosecutor Pia Mäenpää said she was satisfied with Wednesday's sentencing, saying that the court met the demands of the prosecution. The victim's lawyer Jani Vuoti said the conviction and sentencing was in line with the previous cases. ""The rulings were well-grounded and thorough,"" Vuoti said, adding that he would not comment in any way on his client's current situation."
