country;CSAM_spec_leg;CSAM_def;CSAM_tech_off;CSAM_poss;ISP_rep
Afghanistan;0;0;0;0;0
Albania;1;1;1;1;0
Algeria;1;1;1;1;0
Andorra;1;1;1;1;0
Angola;1;1;1;1;0
Argentina;1;1;1;1;0
Armenia;1;0;1;0;0
Aruba;1;1;1;1;0
Australia;1;1;1;1;1
Austria;1;1;1;1;0
Belarus;1;1;1;0;0
Belgium;1;1;1;1;1
Belize;1;1;1;1;0
Benin;1;1;1;1;0
Bhutan;1;1;1;1;1
Bolivia;1;1;1;1;0
Chad;1;1;1;1;0
Chile;1;1;1;1;0
China;1;0;1;0;1
Colombia;1;1;1;1;1
Comoros;1;0;0;1;0
Paraguay;1;1;1;1;0
Peru;1;0;1;1;0
Philippines;1;1;1;1;1
Poland;1;0;1;1;0
Portugal;1;0;1;1;0
Qatar;1;0;1;1;1
Romania;1;1;1;1;0
Russia;1;1;1;0;0
Rwanda;1;0;1;0;1
Sudan;1;1;0;1;0
Suriname;1;1;1;1;0
Swaziland;1;1;1;1;1
Sweden;1;1;1;1;0
Switzerland;1;1;1;1;0
Syria;0;0;0;0;0
Taiwan;1;1;1;1;1
Tajikistan;1;0;1;0;0
Tanzania;1;1;1;0;1
Thailand;1;1;1;1;0
