;Tag_Diana;title;news_platform;author;pubdate;news_type;article_text;news_category;tags;url;search_result_page
108;irrelevant;Macron–Trudeau ‘bromance’ fires up internet;Philippine Daily Inquirer;Philippine Daily Inquirer;Sun, 28 May 2017 00:39:16 PST;article;Canadian Prime Minister Justin Trudeau and President-elect Emmanuel Macron. AP FILE PHOTOS TAORMINA, Italy — “A liberal fantasy dream sequence,” “a bromance,” “insanely romantic.” The internet was abuzz on Friday with pictures of French President Emmanuel Macron and his Canadian counterpart Justin Trudeau schmoozing at the G7 summit in Sicily, strolling through flowered walkways and chatting against the backdrop of a sparkling blue Mediterranean sea.  “Apparently Justin Trudeau and Emmanuel Macron flew to Sicily for their wedding photoshoot,” netizen @sherlockify joked on Twitter. The reaction to the telegenic pair’s encounter in the picturesque, hillside town of Taormina, immortalized by Macron himself who tweeted a video of their meeting, provided some light relief from a summit otherwise devoted to thorny issues such as climate change and the threat of extremism.  “The Franco-Canadian friendship has a new face,” Macron tweeted after sitting down for talks with Trudeau and taking the now famous stroll. “@JustinTrudeau, it’s up to us to take on the challenges of our generation!”  “Sitting down with @EmmanuelMacron for the first time, talking jobs, security & climate—looking forward to more conversations, my friend,” Trudeau responded on Twitter, posting pictures of both smiling, shaking hands, and looking out over the Mediterranean, their dapper suit jackets billowing in the breeze. Trudeau, 45, is popular with liberals worldwide for his commitment to fighting climate change and easing the refugee crisis—in stark contrast to the United States, Canada’s powerful neighbor. Macron, 39, has only been in power for 12 days but enjoys similar kudos, particularly abroad where he has been compared to Trudeau. “This image of Trudeau and Macron in Sicily is right out of a liberal fantasy dream sequence,” tweeted Dhruva Jaishankar, an expert on foreign policy at the India section of the Brookings Institution think tank. Others were even more explicit.  “Le swoon, le sigh,” tweeted netizen MissMary, above a photo of both leaders in apparent earnest chat. “Is there a budding bromance between Macron and Trudeau? Two hunks!” added @MaureenRamsden. —AFP;Headlines;['Emmanuel Macron', 'Justine Trudeau', 'Macron-Trudeau bromance'];https://newsinfo.inquirer.net/900209/macron-trudeau-bromance-fires-up-internet;12
121;irrelevant;Revilla ‘ready’ to tackle Anti-Fake News bill;INQUIRER.net;Consuelo Marquez;Tue, 16 Jul 2019 17:44:36 PST;article;MANILA, Philippines — Senator Ramon Bong Revilla Jr. said he is set to tackle the bill which seeks to criminalize the act of spreading or creating false information on the internet and social media platforms. “It is high time we establish a system of responsibility and accountability in new media,” Revilla said in a statement on Tuesday. “The proliferation and spreading of fake news is a threat not only to political stability, but more importantly, to public and general welfare and national security.”  Revilla was referring to Senate Bill No. 9 or Anti- Fake News bill which aims to penalize those who were found guilty of publishing fake information to mislead the public. READ: Sotto files bill penalizing fake news on internet  Revilla, who is expected to chair the Senate Committee on Public Information and Mass Media, added that he ensured his “utmost consideration” on the press freedom upon hearing the measure. The senator also assured the media that the Senate committee will not impinge on the rights of the press, noting that they will enhance and promote these rights.  Under the measure, anyone found guilty of spreading false news will face imprisonment and a fine less than P300,000. /je;Nation;No Tags;https://newsinfo.inquirer.net/1142426/revilla-ready-to-tackle-anti-fake-news-bill;13
131;irrelevant;Smart network announces slow internet services;INQUIRER.net;Cathrine Gonzales;Fri, 26 Oct 2018 14:25:15 PST;article;Some subscribers of Smart, Talk N Text, and Sun Network may experience slow internet signal, the Smart Communications Inc. announced on Friday. “Some subscribers may experience difficulties accessing our mobile internet services,” it said in an advisory.  According to Smart Communications, their personnel are now trying to fix its internet services. “We are currently working on normalizing affected services as soon as possible. We will give you updates as needed,” the company said.  Other subscribers took to social media to air their complaints on the slow internet signal. Melissa Joy Alsua said the company should give the subscribers freebies or rebates since they were not able to maximize the internet promos.  “Okay lang sana kung isa lang, pero pang-ilan na ‘to this month. Late advisory pa kayo (It’s okay if it happened just once, but this has happened many times this month. Your advisory is also late),” she said. Another subscriber Kris Tian Delacruz also called for compensation for the interruption in internet services. He also noted that he can’t have access to the internet at all. “We are standing in the line thinking if we would be compensated for all of these inconveniences. Hoping for a fast and reliable solution,” he said. JM Reside, meanwhile, took a swipe at the name of the telecommunications company. “Company name should be renamed to ‘not so smart,’” he said. /muf ;Nation;['Local news', 'Nation', 'national news', 'news', 'Philippine news updates', 'Smart Communications Inc.'];https://newsinfo.inquirer.net/1047159/smart-network-announces-slow-internet-services;14
637;irrelevant;MRT-3, LRT-2 lift ban on liquids on stations and trains;INQUIRER.net;Faye Orellana;Wed, 20 Feb 2019 10:41:02 PST;article;MANILA, Philippines — The management of the Metro Rail Transit 3 (MRT-3) line has lifted the ban on liquids and other related materials on its trains and stations. “Ang mga liquid item (tulad ng tubig, pabango, hand sanitizer, lotion, rubbing alcohol, atbp.) na mahigit 100ML ang volume capacity ay pinapayagan na sa aming mga istasyon at tren,” the management said in an advisory on Wednesday.  However, the management clarified that liquids will be tested and verified first before it would be allowed inside the station. The MRT-3 management said commuters should drink their bottled water, spray their perfumes, and spread their lotions or rubbing alcohol in front of station security personnel to confirm its safety.  “Muli po naming ipinapaalala na maaari niyo pong kunin ang inyong mga nakumpiskang liquid item mula nang ipinatupad ang pagbabawal ng anumang likido, sa aming Station Control Room sa istasyon kung saan ito nakumpiska,” the management said in an advisory. “Ipakita lamang ang inyong ID (identification card) sa aming Station Supervisor upang makuha ang mga  nasabing item,” it added.  The MRT-3 earlier banned the water bottles and other liquid materials in its station for security purposes following the terror attacks in Mindanao. READ: Bottled water banned at LRT, MRT stations for security Meanwhile, the Light Rail Transit 2 line (LRT-2) line has also temporarily lifted its ban on bottled water and other liquids on its trains and stations, the line’s management said on Wednesday. The Light Rail Transit Authority (LRTA) said that it has temporarily lifted its ban on liquids as it awaits for the official implementing rules and regulations from the Office for Transportation Security. Despite the temporary lifting of the ban on liquids however, strict security measures will still be implemented in all stations, the LRT line management said.  The LRT-2 has 11 stations: Recto, Legarda, Pureza, V. Mapa, J. Ruiz, Gilmore, Betty Go Belmonte, Araneta-Cubao, Anonas, Katipunan, and Santolan. The LRTA added that LRT-2 commuters do not have to drink their bottled water or have test their lotions or cosmetics tested by security personnel before entering the station. However, commuters will still undergo security inspection with bags having to go through X-ray machines or be inspected by bomb-sniffing dogs on entry to the station.  /muf;Metro;['ban', 'Explosives', 'liquids', 'LRT 2', 'MRT 3', 'stations', 'trains'];https://newsinfo.inquirer.net/1087827/mrt-3-lrt-2-lift-ban-on-liquids-on-stations-and-trains;4
638;irrelevant;DepEd widens reach of special education program;Philippine Daily Inquirer;Tarra Quismundo;Sat, 07 Apr 2012 14:35:28 PST;article;MANILA, Philippines—Aiming to reach out to more children with special education needs, the Department of Education has increased the funding for its Special Education program and is set to open new centers this coming school year. Education Secretary Armin Luistro said this week that the state has allocated 56 percent more funds for SPED than in the past, allotting P180 million this year compared to P115 million last year.  DepEd is also set to open 69 new SPEd centers this coming school year, increasing the number of specialized learning centers from 276 to 345. SPED centers cater to the education needs of gifted children and those with learning disabilities. The centers employ specially trained teachers who employ teaching methods designed for optimum learning of students with special needs.  “We believe that special learners deserve special attention and specialized learning tools, thus the increase in funding support,” Luistro said. Out of the fund, each SPED center will get a P500,000 subsidy for pupil development activities, including training, educational trips, camp activities, sports and other events.  The amount will also fund the procurement of instructional materials, supplies and learning assessment tools. DepEd also allotted funds for training of more teachers, school heads and SPED supervisors. “Instructional materials to be procured for gifted children should be over and above those already included in the regular program. The instructional materials should likewise be able to develop the gifted child’s intellectual abilities and talents in the arts and sciences, mathematics, social sciences, and communications,” Luistro said. Luistro instructed division and regional offices to monitor the implementation of the SPED program. “I enjoin all concerned school officials to strictly comply with the fund utilization guidelines so we can deliver the best service to our special learners,” he said. ;Nation;['budget', 'DepEd', 'Education', 'Gifted Children', 'Learning Disability', 'special education'];https://newsinfo.inquirer.net/173037/deped-widens-reach-of-special-education-program;4
639;irrelevant;DENR to issue temporary order against waste imports;Philippine Daily Inquirer;Jhesset O. Enano;Fri, 16 Aug 2019 05:42:34 PST;article;The Department of Environment and Natural Resources (DENR) will soon come out with an administrative order that would impose a three-month moratorium on waste-related imports, following the longstanding controversies on waste imported by the country. The order, expected to be issued within the month, would also implement a P3-million security bond for every permit issued to importers, which could cover potential export expenses should violations be found in the scrap materials shipped from other countries.  Environment Undersecretary Benny Antiporda said the moratorium would cover recyclable materials, including scrap metals, plastics, electronic waste, used oil and fly ash. At present, these are allowed to enter the country through a DENR administrative order issued in 2013. “We need to come up with safeguards on the importation of recyclable materials,” Antiporda said in an interview.  The moratorium period, he said, will allow deliberations among government agencies, industries and other concerned parties on crafting long-term policy for accepting scrap materials, which mostly come from rich countries. “We have to take into consideration as well the industries that benefit from these waste-related imports,” he added.  Antiporda said processed engineered fuels (PEF) would also be covered by the order. In May, shipments from Australia containing these materials were intercepted at a port in Misamis Oriental province. These materials were reportedly going to be used in cement production. Calls for stronger policies concerning the illegal entry of waste came after President Duterte lashed out at Canada  for its delay in taking back the 2,500 tons of trash wrongly declared as recyclable scrap when it was shipped to the Philippines some five years ago. The containers, which were left in the country’s ports for much of that time, were found to contain household garbage, including used adult diapers, unsorted plastics and electronic waste. Similar waste imports were found to have arrived in the country from other parts of the world, including South Korea and Hong Kong.  In response to the Duterte administration’s call to ban foreign waste, the Bureau of Customs has formed a unit to monitor the entry of such hazardous materials. Environmental groups have been pressuring wealthy countries against dumping their garbage elsewhere, including countries in Southeast Asia. Greenpeace Southeast Asia-Philippines has pointed out the “pattern of misdeclaration, falsified documents, fake business and loose regulatory systems” that allow the illegal entry of garbage into the country. EcoWaste Coalition also called for the country’s ratification of the Basel Ban Amendment, which would prohibit the export of hazardous waste from rich countries to developing nations for any reason, including recycling. Top waste exporters were identified as the United States, United Kingdom, Germany and Japan.;Headlines;['Benny Antiporda', 'Department of Environment and Natural Resources', 'temporary order against waste imports'];https://newsinfo.inquirer.net/1154406/denr-to-issue-temporary-order-against-waste-imports;4
640;irrelevant;Fire destroys houses made of light materials in Marikina City;Philippine Daily Inquirer;Niña Calleja;Sun, 27 Nov 2011 16:50:25 PST;article;MANILA, Philippines—An hour-long fire razed a dozen houses built near the river in Marikina City on Sunday before noon. No one was reported hurt in the fire, which started 11:08 a.m. from the house of a certain Melchor Amantes in Purok 5 in Barangay (village) Malanday, Marikina City.  The fire quickly spead to adjacent houses as most of them were made of wood and light materials, Fire Officer 3 Gramar de la Torre, arson investigator, said over the phone. The blaze reached second alarm before firefighters managed to put it out around 12 noon.  De la Torre said some 24 families were left homeless. The cause of the fire could not yet be determined as probers were still gathering clues and evidence from the site as of Sunday afternoon, he said.  He added that residents in the area had no idea what sparked the fire. An occupant of the house where the fire started was doing her laundry in front of the house at the time it happened. “She was horrified upon seeing her house burning … the fire was already huge,” De la Torre said.;Metro;['Fire', 'Marikina City', 'Philippines - Metro'];https://newsinfo.inquirer.net/101379/fire-destroys-houses-made-of-light-materials-in-marikina-city;4
642;irrelevant;‘Teachers buy chalk, cops get free bullets’;Philippine Daily Inquirer;DJ Yap;Mon, 26 Aug 2019 05:38:43 PST;article;WRITING TOOL A teacher reaches for a chalk above the blackboard. —LYN RILLON MANILA, Philippines — “Why should teachers pay for chalk and bond paper out of their own pocket when police officers get bullets for free?” a Twitter user wrote in a viral post last week, quoting a public school teacher. As though in response, Deputy Speaker Vilma Santos-Recto has filed a bill creating a “teaching supplies allowance” amounting to P10,000 per year for each of the country’s 840,000 public school teachers.  Supplies allowance Under House Bill No. 3449, or the proposed Teaching Supplies Allowance Act, the Batangas representative wants to give government teachers an allowance for the purchase of chalks, erasers, forms and other classroom supplies and materials.  Based on the proposal, an initial amount of P3,500 per teacher per school year shall be charged against the current appropriations of the Department of Education (DepEd). An additional P6,500 per teacher shall then be charged against the available funds and/or savings of the DepEd.  Low salaries “Thereafter, the amount of P10,000 per teacher per school year shall be included in the DepEd budget for Teaching Supplies Allowance under the General Appropriations Act,” according to the bill. Recto noted the low salaries for public school teachers. “Aside from spending for their personal and family needs, teachers also have to shell out some more money from their own pockets for the materials they use in teaching,” Recto said. Her bill also seeks to increase the cash allowance of teachers by 185 percent, from P3,500 to P10,000 per teacher per school year.  Recto cited Republic Act No. 4670, or the Magna Carta for Public School Teachers, which mandates that the salaries of public school teachers “shall be such as to insure teachers a reasonable standard of life for themselves and their families.” Unfortunately, she said their salaries were currently bound by the salary standardization law (SSL), “hence, compensation increases would be subject to comparisons with the qualification, skills and difficulties of other positions in the government.” “Thus, one of the urgent ways to respond to the clamor of our public school teachers for much needed support is to grant them with additional benefits in the form of cash allowances, which would not be subject to the SSL,” Recto said.;Nation;['DepEd', 'teaching supplies allowance', 'Vilma Santos-Recto'];https://newsinfo.inquirer.net/1157416/teachers-buy-chalk-cops-get-free-bullets;5
644;irrelevant;Drilon challenges DTI to ‘seize’ opportunity, boost efforts to lure major firms moving out of China;INQUIRER.net;Christia Marie Ramos;Fri, 22 May 2020 15:09:13 PST;article;MANILA, Philippines — The Department of Trade and Industry (DTI) should boost its efforts to lure multinational companies planning to move out of China amid the COVID-19 pandemic, Senate Minority Franklin Drilon said Friday. Drilon issued the call as he expressed concern over reports that the Philippines is lagging behind in terms of efforts to woo investors leaving China, including major firms from Japan and the United States, as compared to other Southeast Asian countries.  “I do not see enough efforts being done, as compared with our neighboring countries such as Indonesia, Vietnam and Thailand, to win over the biggest companies moving out from China to relocate into the country,” the senator said in a statement. “This is an opportunity that we should seize immediately. The competition is tough. We cannot afford a laid-back attitude especially in this most trying time in our history as a nation,” he added.  He said the DTI should “reach out” to the said companies as he noted that potential investments from these firms “will help our economy heavily battered by this pandemic.” Drilon said that the government should device “a more aggressive strategy” to woo these companies to relocate to the Philippines.  “Ang nakakalungkot ay yung mga tira-tira na lang ang napupunta sa atin. Hindi tayo kulelat kasi may maliliit na negosyong mapupunta sa atin.I do not think that that is the proper way to look at it,” he said. Drilon noted that the Japanese Chamber of Commerce and Industry of the Philippines, Inc. (JCCIPI) had earlier said that Japanese manufacturing companies in China are looking to relocate their production to Vietnam, Indonesia, and Thailand due to supply chain, resources, and raw material production. “The reality is, we need investments more than ever for our economy to recover from this COVID-19 disease and to provide jobs and livelihood opportunities to Filipinos who lost jobs due to the pandemic,” Drilon said. This as he noted that the Department of Labor and Employment (DOLE) had estimated that around five million Filipinos would lose jobs due to the health crisis. “Tell us the stumbling blocks we are facing here and if concerns legislation, Congress will fix it,” Drilon said.  The senator said that among the legislative measures that would help attract companies into the Philippines are bills seeking to amend the Public Service Act and the Retail Trade Act. Drilon said the “restrictive” requirements of both laws “impede” foreign investments in the country. Senate Bill No. 13 seeks to limit the definition of public utility while opening up other public services to the market while Senate Bill No. 14 seeks to further relax foreign restrictions by removing investment categories and setting an across the board minimum paid-up capital investment of US$200,000. Drilon, who authored the twin economic measures, then urged the government to include his two measures as priority legislation.;Nation;['companies', 'COVID-19 pandemic', 'Department of Trade and Industry', 'DTI', 'Nation', 'news', 'Senate Minority Leader Franklin Drilon'];https://newsinfo.inquirer.net/1279391/drilon-challenges-dti-to-seize-opportunity-boost-efforts-to-lure-major-firms-moving-out-of-china;5
645;irrelevant;COA: Palace bureau paid P100K for dead phone lines;Philippine Daily Inquirer;Patricia Denise M. Chiu;Thu, 29 Aug 2019 05:36:00 PST;article;MANILA, Philippines — No dial tone, no payment. But a Malacañang communication service still paid PLDT Inc. some P100,000 for landlines that were not working, clearly an imprudent use of public funds.  The Commission on Audit (COA) has directed the Bureau of Communications Services (BCS) to recover the P110,081.51 it had paid to the telecommunications giant. The BCS is an attached agency of the Presidential Communications Operations Office (PCOO) tasked with providing materials and services related to various functions of the presidency and the PCOO. It also produces information materials for state events.  Worn-out hardware In its annual audit report, the COA said the bureau paid bills for seven months although nine out of 12 lines for key officials had bogged down and were virtually unusable starting June 2018.  “As there was no repair or maintenance made by the agency, the nine lines fully bogged down in October 2018. Despite the situation, BCS paid and [is] … still paying the monthly service fees for the inoperative lines,” the report said. It was only in November 2018 that the BCS reached out to its parent agency, the PCOO, to request a telephone technician to fix the problem. “It was diagnosed that the problem was caused by worn-out telephone wires and telephone units of BCS, and by faulty cabling from the PLDT main distribution frame,” the audit report said. It said that while “concerned maintenance personnel” reported the issues to PLDT, the company had not solved the faulty cabling, “to the disadvantage of the agency and the government.” No cost-benefit analysis  In November 2018, the BCS made a purchase request to replace broken phone lines and units. The dismal response to the lack of phone service can be attributed to the bureau’s failure to come up with proper administrative guidelines on the maintenance of its communication lines, according to the COA. “Per inquiry, the agency has not conducted assessment or cost-benefit analysis on the quality of service provided by PLDT Inc. despite … [the] existing conditions,” the audit body said. Aside from ordering the BCS to demand a refund from PLDT, the COA directed the agency to formulate guidelines on how telephone cables, parts and  units could be regularly maintained and kept serviceable. The COA urged the BCS to put in place a monitoring system for troubleshooting telephone line problems. The BCS has agreed to follow the audit body’s recommendations.;Headlines;No Tags;https://newsinfo.inquirer.net/1158729/coa-palace-bureau-paid-p100k-for-dead-phone-lines;5
